trial,seconds,ms,parse_ok,wire_cmd,prompt_tokens,output_tokens,total_ms_ollama,load_ms_ollama,prompt_eval_ms_ollama,eval_ms_ollama,error
1,0.6291575999994166,629.1575999994166,1,SET 1,185,8,627.3569,399.247,12.8572,87.0458,
2,0.556593199999952,556.593199999952,1,SET 1,185,8,555.1304,320.21,14.0435,86.7275,
3,0.5394608999995398,539.4608999995398,1,SET 1,185,8,537.038,309.5882,12.8767,89.5353,
4,0.6375390999992305,637.5390999992305,1,SET 1,185,8,635.6532,409.0022,15.2295,86.3492,
5,0.6167666000001191,616.7666000001191,1,SET 1,185,8,614.4618,383.1149,12.9701,86.114,
6,0.5625473999998576,562.5473999998576,1,SET 1,185,8,560.2085,335.3982,13.4502,85.8115,
7,0.6299521000000823,629.9521000000823,1,SET 1,185,8,628.3481,394.1465,13.0226,85.6606,
8,0.5717076000000816,571.7076000000816,1,SET 1,185,8,569.9862,332.5047,12.8388,84.4488,
9,0.581691200000023,581.691200000023,1,SET 1,185,8,579.8616,353.1684,13.097,84.3266,
10,0.5762180000001536,576.2180000001536,1,SET 1,185,8,573.5903,349.319,13.3177,85.5971,
11,0.6501716000002489,650.1716000002489,1,SET 1,185,8,648.6283,420.6244,12.7054,86.7707,
12,0.591935100000228,591.935100000228,1,SET 1,185,8,590.1088,355.4306,12.7186,88.5734,
13,0.573435000000245,573.435000000245,1,SET 1,185,8,571.0966,331.6998,14.9213,87.0202,
14,0.558199400000376,558.199400000376,1,SET 1,185,8,556.121,326.9283,12.7246,87.4285,
15,0.5582070999998905,558.2070999998905,1,SET 1,185,8,556.0899,328.1812,13.0244,83.2306,
16,0.6474806000005628,647.4806000005628,1,SET 1,185,8,645.6571,413.9375,13.0667,86.6597,
17,0.6088106999995944,608.8106999995944,1,SET 1,185,8,606.602,375.4187,13.2739,83.8435,
18,0.6006937000001926,600.6937000001926,1,SET 1,185,8,599.6044,364.223,13.2643,84.5135,
19,0.5649720000001253,564.9720000001253,1,SET 1,185,8,562.2198,330.2411,13.0921,84.4326,
20,0.6012175999994724,601.2175999994724,1,SET 1,185,8,598.9064,369.4839,13.0766,87.8454,
21,0.629615300000296,629.615300000296,1,SET 1,185,8,627.7112,397.5509,13.0505,88.3937,
22,0.6217093000004752,621.7093000004752,1,SET 1,185,8,618.8871,375.4109,13.0089,85.129,
23,0.5826076999992438,582.6076999992438,1,SET 1,185,8,580.2574,349.9516,14.261,85.3539,
24,0.6135870999996769,613.5870999996769,1,SET 1,185,8,610.8892,378.5833,13.3519,88.1021,
25,0.5945458999995026,594.5458999995026,1,SET 1,185,8,592.466,349.1078,12.4651,96.9802,
26,0.567790299999615,567.790299999615,1,SET 1,185,8,566.4119,328.0558,12.273,87.3269,
27,0.5694934000002831,569.4934000002831,1,SET 1,185,8,567.2486,326.6424,13.1299,88.0359,
28,0.5525022000001627,552.5022000001627,1,SET 1,185,8,550.6379,313.3149,12.4818,87.3204,
29,0.591449499999726,591.449499999726,1,SET 1,185,8,588.6536,355.959,12.6714,88.9427,
30,0.6150437000005695,615.0437000005695,1,SET 1,185,8,612.9758,374.0591,14.2189,93.3288,
31,0.5545836999999665,554.5836999999665,1,SET 1,185,8,551.5255,309.3281,13.6059,92.0685,
32,0.5788499000000229,578.8499000000229,1,SET 1,185,8,576.3367,332.8495,13.634,92.1307,
33,0.6316209999995408,631.6209999995408,1,SET 1,185,8,630.1149,387.79,14.7391,93.6467,
34,0.6529006999999183,652.9006999999183,1,SET 1,185,8,650.8223,419.5624,12.9999,85.0021,
35,0.6012548000007882,601.2548000007882,1,SET 1,185,8,599.2461,356.8867,14.1227,89.6048,
36,0.6020281999999497,602.0281999999497,1,SET 1,185,8,600.0383,359.8984,13.9759,93.6011,
37,0.6170359999996435,617.0359999996435,1,SET 1,185,8,614.9196,380.5964,13.508,85.744,
38,0.6172704000000522,617.2704000000522,1,SET 1,185,8,614.8422,377.2176,13.0123,86.8259,
39,0.6115105999997468,611.5105999997468,1,SET 1,185,8,609.5007,372.059,13.2412,90.0382,
40,0.5635150999996767,563.5150999996767,1,SET 1,185,8,560.4959,325.8568,15.9092,93.9458,
41,0.5998328000005131,599.8328000005131,1,SET 1,185,8,597.5765,352.3976,14.5404,99.6006,
42,0.6185260000002017,618.5260000002017,1,SET 1,185,8,616.1057,373.0525,14.8863,97.276,
43,0.6194375000004584,619.4375000004584,1,SET 1,185,8,617.6963,347.6517,14.33,98.2682,
44,0.6237761000002138,623.7761000002138,1,SET 1,185,8,622.797,364.0629,14.3592,109.697,
45,0.6072587999997268,607.2587999997268,1,SET 1,185,8,605.2587,355.8192,14.734,101.834,
46,0.5904295000000275,590.4295000000275,1,SET 1,185,8,588.921,350.7385,13.5836,92.9814,
47,0.6079557999992176,607.9557999992176,1,SET 1,185,8,606.7214,375.1873,13.3691,90.9114,
48,0.5727899000003163,572.7899000003163,1,SET 1,185,8,570.2292,338.5472,12.8305,87.986,
49,0.58979459999955,589.79459999955,1,SET 1,185,8,588.0413,351.3505,12.7922,86.9499,
50,0.5893292000000656,589.3292000000656,1,SET 1,185,8,587.9752,327.8293,12.3186,86.9717,
51,0.5745074999995268,574.5074999995268,1,SET 1,185,8,572.934,338.7315,14.0295,91.5018,
52,0.619792100000268,619.792100000268,1,SET 1,185,8,616.0005,354.1509,14.1863,92.2873,
53,0.6341943000006722,634.1943000006722,1,SET 1,185,8,636.0353,380.1085,14.8452,100.6012,
54,0.671754900000451,671.754900000451,1,SET 1,185,8,669.7679,372.6835,14.9912,95.5032,
